ESTATUS,MES,EQUIPO,ZONA,PROMOTOR,"ID CLIENTE",CLIENTE,"N° BACKLOG",BIEN,"LINEA DISPONIBLE","MONTO ORIGINAL","RI ORIGINAL",DIFERENCIA,BACKLOG,"RENTA INICIAL","COLOCACIÓN REAL","RI REAL","MONTO CANCELADO","RI CANCELADA","TIPO DE OPERACIÓN","ETAPA INICIO MES",ETAPA,SOLICITUD,PROSPECTO,CREDITO,RECHAZADA,"SIN SOLICITUD","CON SOLICITUD","RI PROSPECTO","RI CREDITO","RI RECHAZADA","RI SIN SOLICITUD","RI CON SOLICITUD"
Comprometida,FEB-17,6,Metropolitana,"Horacio Alberto Rodríguez Ornelas",5579,"STANDARD MACHINERY AND SUPPLY COMPANY, S.A. DE C.V.",8228,"OTROS ",11701045.620000,12756684.170000,2408083.400000,0,12756684.170000,2408083.400000,12756684.170000,2408083.400000,0.000000,0.000000,Adicional,Autorizada,Autorizada,SI,0.000000,0.000000,0.000000,0.000000,12756684.170000,0.000000,0.000000,0.000000,0.000000,2408083.400000,,
Comprometida,FEB-17,6,METROPOLITANA,"Ricardo Antonio Hernandez Perez",64720,"GENERAL DATACOMM DE MEXICO, S.A. DE C.V.",9525,"EQUIPO DE COMPUTO ",4528856.910000,50000000.000000,10000000.000000,-20000000,30000000.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Prospecto,Credito,NO,0.000000,24565371.710000,0.000000,5434628.290000,0.000000,0.000000,4913074.340000,0.000000,1086925.660000,0.000000,,,
Comprometida,FEB-17,6,METROPOLITANA,"Ricardo Antonio Hernandez Perez",62122,"INOBA CONSTRUCCIONES, S.A. DE C.V.",8084,"MAQUINARIA ",40000000.000000,49446141.990000,9889228.390000,0,49446141.990000,9889228.390000,49446141.990000,9889228.390000,0.000000,0.000000,Adicional,Prospecto,Prospecto,SI,0.000000,0.000000,0.000000,0.000000,49446141.990000,0.000000,0.000000,0.000000,0.000000,9889228.390000,,
Comprometida,FEB-17,6,Metropolitana,"Ricardo Antonio Hernandez Perez",58183,"NAVEMAR DE MÉXICO, S.A. DE C.V.",9522,"OTROS ",0.000000,32000000.000000,6400000.000000,0,32000000.000000,6400000.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Prospecto,Prospecto,NO,32000000.000000,0.000000,0.000000,0.000000,0.000000,6400000.000000,0.000000,0.000000,0.000000,0.000000,,,
Comprometida,FEB-17,6,Metropolitana,"Ricardo Antonio Hernandez Perez",66152,"GRUPO MAGSTEL, S.A. DE C.V.",9527,"MAQUINARIA ",0.000000,30000000.000000,6000000.000000,0,30000000.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Prospecto,Credito,NO,0.000000,30000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,,,
Comprometida,FEB-17,6,Metropolitana,"Ricardo Antonio Hernandez Perez",64789,"COMERCIALIZADORA DE AUTOS PHILLY, S.A. DE C.V.",8894,"AUTOS ",0.000000,30000000.000000,3000000.000000,-24000000,6000000.000000,600000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Prospecto,NO,6000000.000000,0.000000,0.000000,0.000000,0.000000,600000.000000,0.000000,0.000000,0.000000,0.000000,,,
Comprometida,FEB-17,6,Metropolitana,"Ricardo Antonio Hernandez Perez",62341,"PRO - FAJ HIDRO LIMPIEZA, S.A. DE C.V.",9523,"MAQUINARIA ",168203.400000,20000000.000000,4000000.000000,0,20000000.000000,4000000.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Prospecto,Credito,NO,0.000000,19798155.920000,0.000000,201844.080000,0.000000,0.000000,3959631.180000,0.000000,40368.820000,0.000000,,,
Comprometida,FEB-17,6,METROPOLITANA,"Horacio Alberto Rodríguez Ornelas",40905,"PERFILES COMERCIALES CUAUTITLÁN, S.A. DE C.V.",9381,"MAQUINARIA OTROS ",76278.750000,10000000.000000,2000000.000000,0,10000000.000000,2000000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Credito,NO,0.000000,9908465.500000,0.000000,91534.500000,0.000000,0.000000,1981693.100000,0.000000,18306.900000,0.000000,,,
Comprometida,FEB-17,6,Metropolitana,"Ricardo Antonio Hernandez Perez",13044,"CAVANOVA DE MÉXICO, S.A. DE C.V.",9524,"MAQUINARIA ",0.000000,10000000.000000,2000000.000000,0,10000000.000000,2000000.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Prospecto,Credito,NO,0.000000,10000000.000000,0.000000,0.000000,0.000000,0.000000,2000000.000000,0.000000,0.000000,0.000000,,,
Comprometida,FEB-17,6,METROPOLITANA,"Ricardo Antonio Hernandez Perez",64790,"BUSINESS ELITE INDUSTRIES SA DE CV",8933,"AUTOS ",0.000000,4000000.000000,0.000000,0,4000000.000000,400000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Prospecto,NO,4000000.000000,0.000000,0.000000,0.000000,0.000000,400000.000000,0.000000,0.000000,0.000000,0.000000,,,
Comprometida,FEB-17,6,Metropolitana,"Horacio Alberto Rodríguez Ornelas",66057,"AMSTERDAM MUEBLES, S.A. DE C.V.",9382,"MAQUINARIA OTROS ",0.000000,2000000.000000,400000.000000,0,2000000.000000,400000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Rechazada,NO,0.000000,0.000000,2000000.000000,0.000000,0.000000,0.000000,0.000000,400000.000000,0.000000,0.000000,,,
,,,,,,,,56474385,250202826,46097312,0,206202826,40097312,62202826,12297312,0,0,,,,
