ESTATUS,MES,EQUIPO,ZONA,PROMOTOR,"ID CLIENTE",CLIENTE,"N° BACKLOG",BIEN,"LINEA DISPONIBLE","MONTO ORIGINAL","RI ORIGINAL",DIFERENCIA,BACKLOG,"RENTA INICIAL","BACKLOG ACTUAL","COLOCACIÓN REAL","RI REAL","MONTO CANCELADO","RI CANCELADA","TIPO DE OPERACIÓN","ETAPA INICIO MES",ETAPA,SOLICITUD,PROSPECTO,CREDITO,RECHAZADA,"SIN SOLICITUD","CON SOLICITUD","RI PROSPECTO","RI CREDITO","RI RECHAZADA","RI SIN SOLICITUD","RI CON SOLICITUD",TASA,COMISION,"DIF RESIDUALES"
Comprometida,MAY-17,HER,Regional,"Manuel Antonio Lopez Aguayo",55134,"TRANSPORTES PRIVADOS DE GUAYMAS, S.A. DE C.V.",10857,"EQUIPO DE TRANSPORTE ",22500000.000000,4000000.000000,400000.000000,0,4000000.000000,400000.000000,4000000.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Autorizada,Autorizada,NO,0.000000,0.000000,0.000000,4000000.000000,0.000000,0.000000,0.000000,0.000000,400000.000000,0.000000,,,,,,
Comprometida,MAY-17,HER,Regional,"Manuel Antonio Lopez Aguayo",56939,"MAQUILAS TETA-KAWI, S.A. DE C.V.",10843,"AUTOS ",570952.030000,1000000.000000,100000.000000,0,1000000.000000,100000.000000,1028594.000000,1028594.000000,102859.400000,0.000000,0.000000,Adicional,Autorizada,Autorizada,SI,0.000000,0.000000,0.000000,0.000000,1028594.000000,0.000000,0.000000,0.000000,0.000000,102859.400000,,,,,,
Cancelada,MAY-17,HER,Regional,"Manuel Antonio Lopez Aguayo",68224,"COBA INDUSTRIAL, S.A. DE C.V.",10721," ",116679.100000,760000.000000,152000.000000,0,760000.000000,152000.000000,0,0.000000,0.000000,0.000000,0.000000,Original,Autorizada,Prospecto,NO,619985.080000,0.000000,0.000000,140014.920000,0.000000,123997.020000,0.000000,0.000000,28002.980000,0.000000,,,,,,
Comprometida,MAY-17,HER,Regional,"Manuel Juventino Madrid García",67934,"PREMACO DEL DESIERTO SA DE CV",10430," ",21000000.000000,30000000.000000,6000000.000000,0,30000000.000000,6000000.000000,30000000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Prospecto,NO,0.000000,0.000000,0.000000,30000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,0.000000,,,,,,,
Comprometida,MAY-17,HER,Regional,"Manuel Juventino Madrid García",68942,"LOS GALMAR COMERCIAL SA DE CV",10920," ",0.000000,7450000.000000,1490000.000000,0,7450000.000000,1490000.000000,7450000.000000,0.000000,0.000000,0.000000,0.000000,Adicional,Prospecto,Prospecto,NO,7450000.000000,0.000000,0.000000,0.000000,0.000000,1490000.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,,,,
Comprometida,MAY-17,HER,Regional,"Manuel Juventino Madrid García",18995,"SALSAS CASTILLO, S.A.P.I. DE C.V.",10853," ",8662644.160000,500000.000000,50000.000000,0,500000.000000,50000.000000,824604.000000,824604.000000,82460.400000,0.000000,0.000000,Adicional,Autorizada,Autorizada,SI,0.000000,0.000000,0.000000,0.000000,824604.000000,0.000000,0.000000,0.000000,0.000000,82460.400000,,,,,,,
Comprometida,MAY-17,HER,Regional,"Andrea Balderrama Quiroz",,"MICO TECNOLOGIA",10101," ",0.000000,7000000.000000,1400000.000000,0,7000000.000000,1400000.000000,7000000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Prospecto,NO,7000000.000000,0.000000,0.000000,0.000000,0.000000,1400000.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,
Comprometida,MAY-17,HER,Norte,"Andrea Balderrama Quiroz",67190,"SPM PERFORACION S DE RL",10102," ",3200000.000000,3000000.000000,600000.000000,0,3000000.000000,600000.000000,3000000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Autorizada,NO,0.000000,0.000000,0.000000,3000000.000000,0.000000,0.000000,0.000000,0.000000,600000.000000,0.000000,,,,,,,
Comprometida,MAY-17,HER,Regional,"Andrea Balderrama Quiroz",,"DON EDUARDO ALDAMA SPR DE RI",10823," ",0.000000,2500000.000000,500000.000000,0,2500000.000000,500000.000000,2500000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Prospecto,NO,2500000.000000,0.000000,0.000000,0.000000,0.000000,500000.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,
Comprometida,MAY-17,HER,Regional,"Andrea Balderrama Quiroz",,"AGRICOLA TRES JORGES SA DE CV",10824," ",0.000000,2500000.000000,500000.000000,0,2500000.000000,500000.000000,2500000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Prospecto,NO,2500000.000000,0.000000,0.000000,0.000000,0.000000,500000.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,
Comprometida,MAY-17,HER,Regional,"Andrea Balderrama Quiroz",67523,"2615 MEDIOS Y SERVICIOS, S.A. DE C.V.",10825," ",1280000.000000,1000000.000000,200000.000000,0,1000000.000000,200000.000000,1000000.000000,775162.010000,124411.400000,0.000000,0.000000,Original,Autorizada,Autorizada,SI,0.000000,0.000000,0.000000,224837.990000,775162.010000,0.000000,0.000000,0.000000,44967.600000,124411.400000,,,,,,,
Comprometida,MAY-17,HER,Regional,"Andrea Balderrama Quiroz",67559,"OMR PROYECTOS  DE ADMINISTRACION DE INMUEBLES SA DE CV",10822," ",0.000000,1000000.000000,200000.000000,0,1000000.000000,200000.000000,1000000.000000,0.000000,0.000000,0.000000,0.000000,Original,Prospecto,Rechazada,NO,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,0.000000,200000.000000,0.000000,0.000000,,,,,,,
,,,,,,,,,57330275,60710000,11592000,0,60710000,11592000,60303198,2628360,309731,0,0,,,,
